Unnamed: 0,date,state,cases,deaths,cases_diff,death_diff
267,2020-5,South Carolina,12148,500.0,5890,244.0
268,2020-5,South Dakota,5034,62.0,2509,41.0
269,2020-5,Tennessee,23242,361.0,11461,156.0
270,2020-5,Vermont,983,55.0,104,6.0
271,2020-5,Virgin Islands,70,6.0,4,2.0
272,2020-5,Virginia,45398,1392.0,28495,811.0
273,2020-5,West Virginia,2028,76.0,876,29.0
274,2020-5,Wyoming,910,17.0,344,10.0
275,2020-6,Arizona,84152,1726.0,64029,808.0
276,2020-6,California,239764,6168.0,124121,1881.0
277,2020-6,Illinois,145541,7160.0,23875,1702.0
278,2020-6,Massachusetts,109143,8081.0,8338,1046.0
279,2020-6,Washington,35258,1340.0,11986,207.0
280,2020-6,Florida,158989,3549.0,102167,1090.0
281,2020-6,Nebraska,19325,282.0,4980,99.0
282,2020-6,New York,398770,31791.0,22250,2025.0
283,2020-6,Oregon,9019,211.0,4716,57.0
284,2020-6,Rhode Island,16853,956.0,1862,236.0
285,2020-6,Texas,174826,2518.0,108745,823.0
286,2020-6,Utah,22864,173.0,12838,60.0
287,2020-6,Wisconsin,32307,794.0,13482,197.0
288,2020-6,Alabama,38962,972.0,20428,326.0
289,2020-6,Alaska,1174,12.0,698,4.0
290,2020-6,Arkansas,21197,277.0,13754,144.0
291,2020-6,Colorado,33012,1697.0,6449,239.0
292,2020-6,Connecticut,46572,4324.0,3832,360.0
293,2020-6,Delaware,11510,509.0,1905,141.0
294,2020-6,District of Columbia,10365,553.0,1508,85.0
295,2020-6,Georgia,79589,2779.0,33832,722.0
296,2020-6,Guam,1240,6.0,96,0.0
297,2020-6,Hawaii,909,18.0,267,1.0
298,2020-6,Idaho,6379,92.0,3471,9.0
299,2020-6,Indiana,47116,2650.0,11432,508.0
300,2020-6,Iowa,29618,717.0,9829,159.0
301,2020-6,Kansas,15142,280.0,5039,63.0
302,2020-6,Kentucky,16114,597.0,5964,152.0
303,2020-6,Louisiana,60286,3238.0,19834,437.0
304,2020-6,Maine,3294,105.0,945,16.0
305,2020-6,Maryland,68502,3205.0,14467,653.0
306,2020-6,Michigan,71279,6202.0,12844,677.0
307,2020-6,Minnesota,36753,1482.0,11535,422.0
308,2020-6,Mississippi,27900,1082.0,12148,343.0
309,2020-6,Missouri,22595,1049.0,9072,263.0
310,2020-6,Montana,1016,22.0,497,5.0
311,2020-6,Nevada,19151,512.0,10450,92.0
312,2020-6,New Hampshire,5802,373.0,1117,128.0
313,2020-6,New Jersey,173782,15078.0,12864,3357.0
314,2020-6,New Mexico,12276,500.0,4476,138.0
315,2020-6,North Carolina,66815,1389.0,37447,466.0
316,2020-6,North Dakota,3624,89.0,996,25.0
317,2020-6,Northern Mariana Islands,30,2.0,8,0.0
318,2020-6,Ohio,52865,2876.0,16881,670.0
319,2020-6,Oklahoma,14112,389.0,7539,55.0
320,2020-6,Pennsylvania,91864,6704.0,15130,1130.0
321,2020-6,Puerto Rico,7537,,3664,
322,2020-6,South Carolina,37919,766.0,25771,266.0
323,2020-6,South Dakota,6826,93.0,1792,31.0
324,2020-6,Tennessee,44360,602.0,21118,241.0
325,2020-6,Vermont,1210,56.0,227,1.0
326,2020-6,Virgin Islands,92,6.0,22,0.0
327,2020-6,Virginia,63203,1786.0,17805,394.0
328,2020-6,West Virginia,2979,93.0,951,17.0
329,2020-6,Wyoming,1514,20.0,604,3.0
330,2020-7,Arizona,177019,3753.0,92867,2027.0
331,2020-7,California,509507,9365.0,269743,3197.0
332,2020-7,Illinois,182232,7707.0,36691,547.0
333,2020-7,Massachusetts,118040,8626.0,8897,545.0
334,2020-7,Washington,59648,1675.0,24390,335.0
335,2020-7,Florida,480020,7021.0,321031,3472.0
336,2020-7,Nebraska,26391,338.0,7066,56.0
337,2020-7,New York,420477,32390.0,21707,599.0
338,2020-7,Oregon,18817,329.0,9798,118.0
339,2020-7,Rhode Island,19022,1007.0,2169,51.0
340,2020-7,Texas,448224,7477.0,273398,4959.0
341,2020-7,Utah,40754,312.0,17890,139.0
342,2020-7,Wisconsin,58064,955.0,25757,161.0
343,2020-7,Alabama,89349,1603.0,50387,631.0
344,2020-7,Alaska,3825,22.0,2651,10.0
345,2020-7,Arkansas,43173,458.0,21976,181.0
346,2020-7,Colorado,47357,1846.0,14345,149.0
347,2020-7,Connecticut,49810,4432.0,3238,108.0
348,2020-7,Delaware,14877,585.0,3367,76.0
349,2020-7,District of Columbia,12205,585.0,1840,32.0
350,2020-7,Georgia,174834,3744.0,95245,965.0
351,2020-7,Guam,1328,6.0,88,0.0
352,2020-7,Hawaii,2174,25.0,1265,7.0
353,2020-7,Idaho,21231,197.0,14852,105.0
354,2020-7,Indiana,68773,2971.0,21657,321.0
355,2020-7,Iowa,45293,874.0,15675,157.0
356,2020-7,Kansas,28147,358.0,13005,78.0
357,2020-7,Kentucky,31612,758.0,15498,161.0
358,2020-7,Louisiana,116394,3949.0,56108,711.0
359,2020-7,Maine,3937,123.0,643,18.0
360,2020-7,Maryland,89925,3506.0,21423,301.0
361,2020-7,Michigan,91450,6460.0,20171,258.0
362,2020-7,Minnesota,55228,1646.0,18475,164.0
363,2020-7,Mississippi,59881,1693.0,31981,611.0
364,2020-7,Missouri,52012,1311.0,29417,262.0
365,2020-7,Montana,4081,61.0,3065,39.0
366,2020-7,Nevada,49207,832.0,30056,320.0
367,2020-7,New Hampshire,6613,416.0,811,43.0
368,2020-7,New Jersey,183904,15830.0,10122,752.0
369,2020-7,New Mexico,20796,651.0,8520,151.0
370,2020-7,North Carolina,124015,1989.0,57200,600.0
371,2020-7,North Dakota,6606,107.0,2982,18.0
372,2020-7,Northern Mariana Islands,44,2.0,14,0.0
373,2020-7,Ohio,92087,3515.0,39222,639.0
